,b,se,pval,BH_adjPval,EntrezGeneID,GeneSymbol
7235,-0.026750509,0.03736386,0.474024649,0.828827609,8501,SLC43A1
1912,-0.016446295,0.022990837,0.474398193,0.829254496,22906,TRAK1
5839,-0.040426495,0.056537656,0.474586413,0.829254496,6397,SEC14L1
5688,0.043144872,0.060347746,0.474647611,0.829254496,6118,RPA2
6782,0.025855322,0.036167533,0.474685319,0.829254496,776,CACNA1D
7868,0.020722124,0.028997093,0.474839164,0.829254496,9365,KL
7840,-0.040714939,0.056996831,0.475018891,0.829254496,9322,TRIP10
5288,-0.128716452,0.180218729,0.475088987,0.829254496,56650,CLDND1
3706,0.083056428,0.116314018,0.475183487,0.829254496,374291,NDUFS7
3486,-0.041892941,0.058669721,0.475198093,0.829254496,3425,IDUA
1771,-0.022212527,0.031121064,0.475384404,0.829254496,2208,FCER2
230,0.024956199,0.034983111,0.47561158,0.829254496,102724748,LOC102724748
156,0.025469717,0.035715052,0.47576113,0.829254496,10195,ALG3
3205,-0.033055926,0.046358285,0.475812802,0.829254496,29984,RHOD
122,-0.051389382,0.072083926,0.475901195,0.829254496,10140,TOB1
7642,0.036562898,0.051290021,0.475928846,0.829254496,90627,STARD13
5324,-0.029420724,0.041276307,0.475984942,0.829254496,56998,CTNNBIP1
3789,0.063573378,0.089195253,0.476004209,0.829254496,3840,KPNA4
246,-0.035646956,0.050018451,0.476046193,0.829254496,1029,CDKN2A
5460,-0.038040027,0.05339637,0.47621187,0.829316406,5784,PTPN14
4763,-0.014518365,0.020385694,0.476350826,0.829316406,5197,PF4V1
770,0.019855134,0.027880935,0.476377988,0.829316406,11083,DIDO1
1488,-0.240179786,0.337361901,0.476504952,0.82936551,1832,DSP
6227,-0.041997362,0.059101802,0.477336112,0.830640007,683,BST1
949,0.028247284,0.039792036,0.47778302,0.831200528,115817,DHRS1
1597,0.018069195,0.025460434,0.477892013,0.831200528,200576,PIKFYVE
4717,-0.022247881,0.031362006,0.478082738,0.831200528,51634,RBMX2
3563,0.062478644,0.088080546,0.478116404,0.831200528,3566,IL4R
3770,0.106987315,0.150840134,0.478153102,0.831200528,3815,KIT
5697,-0.035266448,0.049801497,0.478858115,0.831927068,6135,RPL11
542,-0.037836992,0.053454895,0.479050678,0.831927068,1071,CETP
