"","Iwamoto_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizSamplingVariance","GeneSymbol"
"297",0.121688517,"1036","CDO1",0.00841071878345677,"CDO1"
"298",0.132185986,"10360","NPM3",0.00779981484938628,"NPM3"
"299",-0.219125186,"10362","HMG20B",0.00927296524186653,"HMG20B"
"300",0.006582698,"10367","MICU1",0.00317217387633689,"MICU1"
"301",-0.059918424,"10368","CACNG3",0.00632372923679932,"CACNG3"
"302",0.198038843,"10370","CITED2",0.0384797827077521,"CITED2"
"303",0.039894318,"10371","SEMA3A",0.00428574527874946,"SEMA3A"
"304",0.065830739,"10376","TUBA1B",0.004040217514995,"TUBA1B"
"305",-0.106337986,"10379","IRF9",0.00600244283321379,"IRF9"
"306",-0.223672828,"1038","CDR1",0.131479093207736,"CDR1"
"307",-0.144177778,"10381","TUBB3",0.012548075024939,"TUBB3"
"308",-0.13994689,"10382","TUBB4A",0.0113258199117807,"TUBB4A"
"309",-0.037966245,"10383","TUBB4B",0.00606276909176313,"TUBB4B"
"310",0.137901937,"10384","BTN3A3",0.011577727570542,"BTN3A3"
"311",-0.036479859,"10388","SYCP2",0.00439718569137583,"SYCP2"
"312",-0.101024078,"10389","SCML2",0.00966693130219467,"SCML2"
"313",0.15125921,"1039","CDR2",0.0115600897958056,"CDR2"
"314",-0.011107154,"10391","CORO2B",0.00587893180117985,"CORO2B"
"315",0.137710089,"10393","ANAPC10",0.00833710768773816,"ANAPC10"
"316",-0.121807454,"10395","DLC1",0.0114794446335419,"DLC1"
"317",-0.107468639,"10396","ATP8A1",0.00378332601546706,"ATP8A1"
"318",-0.026700303,"10397","NDRG1",0.0291113605568452,"NDRG1"
"319",0.016599641,"10398","MYL9",0.00924002360872423,"MYL9"
"320",0.076681288,"10399","RACK1",0.00488057650543,"RACK1"
"321",0.145961999,"104","ADARB1",0.0107718494260555,"ADARB1"
"322",0.269577448,"1040","CDS1",0.0123074285906806,"CDS1"
"323",-0.059543004,"10400","PEMT",0.0017339680196394,"PEMT"
"324",0.049438511,"10401","PIAS3",0.00301758720663025,"PIAS3"
"325",-0.053200834,"10402","ST3GAL6",0.00452254082812492,"ST3GAL6"
"326",0.03224262,"10403","NDC80",0.00353163295118647,"NDC80"
"327",-0.098912397,"10404","CPQ",0.00346834671849188,"CPQ"
"328",0.136928806,"10406","WFDC2",0.00287305714680898,"WFDC2"
"329",-0.060906759,"10408","MYCNOS",0.00234049576912505,"MYCNOS"
"330",0.056179751,"10409","BASP1",0.00429588017327716,"BASP1"
"331",-0.021618039,"1041","CDSN",0.00474979102829848,"CDSN"
"332",-0.086392879,"10411","RAPGEF3",0.00418148122916088,"RAPGEF3"
"333",-0.031804203,"10413","YAP1",0.00284241958661736,"YAP1"
"334",-0.164630807,"10418","SPON1",0.0174254391381573,"SPON1"
"335",-0.049480388,"10420","TESK2",0.00515268302374286,"TESK2"
"336",-0.048017615,"10421","CD2BP2",0.00389139897782788,"CD2BP2"
"337",0.091695489,"10422","UBAC1",0.00372682384318282,"UBAC1"
"338",-0.001522432,"10423","CDIPT",0.00298859772254237,"CDIPT"
"339",0.068794045,"10424","PGRMC2",0.00473089934100031,"PGRMC2"
"340",-0.018215579,"10425","ARIH2",0.00395009390271615,"ARIH2"
"341",-0.122042392,"10426","TUBGCP3",0.0112821743769344,"TUBGCP3"
"342",0.119539264,"10427","SEC24B",0.0107469558897806,"SEC24B"
"343",0.1340924,"10428","CFDP1",0.011785432188881,"CFDP1"
"344",0.073060235,"1043","CD52",0.00686810480699261,"CD52"
"345",0.049685873,"10430","TMEM147",0.00389165045283839,"TMEM147"
"346",-0.032093671,"10432","RBM14",0.00749502808490442,"RBM14"
"347",0.203357829,"10434","LYPLA1",0.0310656971305939,"LYPLA1"
"348",-0.093374591,"10435","CDC42EP2",0.00550583580954514,"CDC42EP2"
"349",0.096646824,"10436","EMG1",0.00240869757524564,"EMG1"
"350",0.062415507,"10437","IFI30",0.0109829105328935,"IFI30"
"351",0.066177199,"10439","OLFM1",0.00540279502066361,"OLFM1"
"352",-0.017605051,"1044","CDX1",0.00356760922361696,"CDX1"
"353",0.084793744,"10440","TIMM17A",0.00618435243986004,"TIMM17A"
"354",0.011941025,"10443","N4BP2L2",0.00324373625948685,"N4BP2L2"
"355",-0.119045184,"10444","ZER1",0.00826272847033265,"ZER1"
"356",-0.011173733,"10445","MCRS1",0.00204253980495426,"MCRS1"
"357",-0.011698608,"10446","LRRN2",0.00527174432579229,"LRRN2"
"358",-0.163363152,"10449","ACAA2",0.0143301837543629,"ACAA2"
"359",0.082982408,"1045","CDX2",0.00283633474795137,"CDX2"
"360",-0.015051234,"10450","PPIE",0.00299142746927277,"PPIE"
"361",-0.135514114,"10452","TOMM40",0.0072577713169695,"TOMM40"
"362",-0.066117301,"10454","TAB1",0.00250442760450259,"TAB1"
"363",0.100268036,"10456","HAX1",0.00646388779684843,"HAX1"
"364",-0.111542629,"10457","GPNMB",0.0675717201950435,"GPNMB"
"365",0.031411793,"10458","BAIAP2",0.00302152786000048,"BAIAP2"
"366",-0.018051773,"10461","MERTK",0.0118306551342627,"MERTK"
"367",-0.028061772,"10462","CLEC10A",0.00503011720577959,"CLEC10A"
"368",0.035718922,"10463","SLC30A9",0.0137600287786442,"SLC30A9"
"369",-0.078684314,"10464","PIBF1",0.0079242669955768,"PIBF1"
"370",0.052088461,"10465","PPIH",0.0203142445206825,"PPIH"
"371",0.085790953,"10466","COG5",0.00670602250208253,"COG5"
